feature_set,model,fpr,tpr,auc,n
Baseline,Logistic,0.0,0.0,0.616950129989132,7001
Baseline,Logistic,0.0031936127744510976,0.029359430604982206,0.616950129989132,7001
Baseline,Logistic,0.005988023952095809,0.059163701067615655,0.616950129989132,7001
Baseline,Logistic,0.011177644710578843,0.08763345195729537,0.616950129989132,7001
Baseline,Logistic,0.015568862275449102,0.11677046263345196,0.616950129989132,7001
Baseline,Logistic,0.01716566866267465,0.14679715302491103,0.616950129989132,7001
Baseline,Logistic,0.021956087824351298,0.175711743772242,0.616950129989132,7001
Baseline,Logistic,0.02315369261477046,0.20640569395017794,0.616950129989132,7001
Baseline,Logistic,0.02475049900199601,0.23665480427046262,0.616950129989132,7001
Baseline,Logistic,0.02554890219560878,0.26712633451957296,0.616950129989132,7001
Baseline,Logistic,0.02594810379241517,0.29826512455516013,0.616950129989132,7001
Baseline,Logistic,0.043512974051896205,0.31983985765124556,0.616950129989132,7001
Baseline,Logistic,0.06107784431137724,0.3416370106761566,0.616950129989132,7001
Baseline,Logistic,0.07425149700598803,0.3654359430604982,0.616950129989132,7001
Baseline,Logistic,0.08502994011976048,0.39079181494661924,0.616950129989132,7001
Baseline,Logistic,0.09740518962075849,0.4152580071174377,0.616950129989132,7001
Baseline,Logistic,0.11017964071856287,0.43972419928825623,0.616950129989132,7001
Baseline,Logistic,0.12095808383233533,0.46463523131672596,0.616950129989132,7001
Baseline,Logistic,0.1341317365269461,0.4884341637010676,0.616950129989132,7001
Baseline,Logistic,0.13892215568862276,0.5166814946619217,0.616950129989132,7001
Baseline,Logistic,0.14570858283433133,0.5440391459074733,0.616950129989132,7001
Baseline,Logistic,0.18722554890219562,0.5518238434163701,0.616950129989132,7001
Baseline,Logistic,0.22075848303393214,0.5640569395017794,0.616950129989132,7001
Baseline,Logistic,0.2562874251497006,0.5749555160142349,0.616950129989132,7001
Baseline,Logistic,0.288622754491018,0.5874110320284698,0.616950129989132,7001
Baseline,Logistic,0.3213572854291417,0.6005338078291815,0.616950129989132,7001
Baseline,Logistic,0.3596806387225549,0.6105427046263345,0.616950129989132,7001
Baseline,Logistic,0.39481037924151696,0.6216637010676157,0.616950129989132,7001
Baseline,Logistic,0.42714570858283435,0.635008896797153,0.616950129989132,7001
Baseline,Logistic,0.4534930139720559,0.6519128113879004,0.616950129989132,7001
Baseline,Logistic,0.47744510978043914,0.6697064056939501,0.616950129989132,7001
Baseline,Logistic,0.5305389221556887,0.671040925266904,0.616950129989132,7001
Baseline,Logistic,0.5808383233532934,0.6745996441281139,0.616950129989132,7001
Baseline,Logistic,0.6295409181636726,0.6777135231316725,0.616950129989132,7001
Baseline,Logistic,0.6790419161676646,0.681049822064057,0.616950129989132,7001
Baseline,Logistic,0.7289421157684631,0.6846085409252669,0.616950129989132,7001
Baseline,Logistic,0.7752495009980039,0.6901690391459074,0.616950129989132,7001
Baseline,Logistic,0.8199600798403194,0.6959519572953736,0.616950129989132,7001
Baseline,Logistic,0.8650698602794411,0.7030693950177936,0.616950129989132,7001
Baseline,Logistic,0.9093812375249501,0.7088523131672598,0.616950129989132,7001
Baseline,Logistic,0.9465069860279441,0.7186387900355872,0.616950129989132,7001
Baseline,Logistic,0.9528942115768463,0.74644128113879,0.616950129989132,7001
Baseline,Logistic,0.9568862275449102,0.7751334519572953,0.616950129989132,7001
Baseline,Logistic,0.9640718562874252,0.8022686832740213,0.616950129989132,7001
Baseline,Logistic,0.9652694610778443,0.8322953736654805,0.616950129989132,7001
Baseline,Logistic,0.9700598802395209,0.8612099644128114,0.616950129989132,7001
Baseline,Logistic,0.9768463073852296,0.888567615658363,0.616950129989132,7001
Baseline,Logistic,0.9816367265469061,0.9170373665480427,0.616950129989132,7001
Baseline,Logistic,0.9864271457085828,0.9452846975088968,0.616950129989132,7001
Baseline,Logistic,0.9916167664670659,0.9737544483985765,0.616950129989132,7001
Baseline,Logistic,1.0,1.0,0.616950129989132,7001
Baseline,RandomForest,0.0,0.0,0.8498196223211939,7001
Baseline,RandomForest,0.005189620758483034,0.028469750889679714,0.8498196223211939,7001
Baseline,RandomForest,0.00998003992015968,0.05738434163701068,0.8498196223211939,7001
Baseline,RandomForest,0.01437125748502994,0.08652135231316727,0.8498196223211939,7001
Baseline,RandomForest,0.017564870259481037,0.11588078291814946,0.8498196223211939,7001
Baseline,RandomForest,0.02035928143712575,0.14568505338078291,0.8498196223211939,7001
Baseline,RandomForest,0.021956087824351298,0.17593416370106763,0.8498196223211939,7001
Baseline,RandomForest,0.023552894211576848,0.20596085409252668,0.8498196223211939,7001
Baseline,RandomForest,0.02475049900199601,0.23665480427046262,0.8498196223211939,7001
Baseline,RandomForest,0.025149700598802394,0.2677935943060498,0.8498196223211939,7001
Baseline,RandomForest,0.02594810379241517,0.29826512455516013,0.8498196223211939,7001
Baseline,RandomForest,0.0343313373253493,0.32451067615658363,0.8498196223211939,7001
Baseline,RandomForest,0.04111776447105788,0.35186832740213525,0.8498196223211939,7001
Baseline,RandomForest,0.048303393213572854,0.3790035587188612,0.8498196223211939,7001
Baseline,RandomForest,0.05469061876247505,0.40680604982206403,0.8498196223211939,7001
Baseline,RandomForest,0.059880239520958084,0.43527580071174377,0.8498196223211939,7001
Baseline,RandomForest,0.06467065868263473,0.46352313167259784,0.8498196223211939,7001
